,date,text,index,label,score,source,prob_1,prob_2,prob_3,topic_id,topic_name
0,2022-02-24 00:25:51,️ Украина инициирует срочное заседание Совбеза ООН.  Подписаться  YouTube  Сайт,23574,neutral,-0.0195023417472839,Ukraine24,0.059680301696062,0.9938769936561584,0.0401779599487781,41,41_европы_заседание_россия_генассамблея
1,2022-02-24 00:49:52,️️️ Срочное обращение Президента Украины Владимира Зеленского!,23575,neutral,-0.2987550534307956,Ukraine24,0.3382425904273987,0.9645947813987732,0.039487536996603,-1,-1_россии_украины_украине_украина
2,2022-02-24 01:21:56,"️ Мощный момент, которого не покажут на ТВ России!  Зеленский прямо попросил россиян остановить Путина. "" Наша главная цель – мир в Украине "", заявил Президент!",23576,positive,0.5732997059822083,Ukraine24,0.0981135964393615,0.7397266030311584,0.6714133024215698,-1,-1_россии_украины_украине_украина
3,2022-02-24 05:07:54,Владимир Путин вышел в прямой эфир в 4 утра .,23577,neutral,-0.0467942059040069,Ukraine24,0.182769700884819,0.94019216299057,0.135975494980812,-1,-1_россии_украины_украине_украина
4,2022-02-24 05:07:54,ПУТИН ОБЪЯВИЛ СПЕЦИАЛЬНУЮ ВОЕННУЮ ОПЕРАЦИЮ В УКРАИНЕ,23578,neutral,0.0550764799118042,Ukraine24,0.5246950387954712,0.4021857976913452,0.5797715187072754,25,25_лучший_оскар_фильм_лучшая
5,2022-02-24 05:42:58,"Война с Россией: что известно на данный момент Около 4 утра Путин заявил, что начинает военную операцию в Украине. Он уточнил, что в его планах нет оккупации - а только «демилитаризация» и «денацификация». .. Около 5 утра в районе аэропорта Борисполь были слышны взрывы, зарево было видно с расстояния 10 км. .. Сообщается о ряде взрывов в Харькове. См фото.. Воздушное пространство над Украиной закрыто для перелетов, в «Жулянах» отменены все рейсы.",23579,negative,-0.7414417285472155,Ukraine24,0.7598945498466492,0.9356098771095276,0.0184528212994337,-1,-1_россии_украины_украине_украина
6,2022-02-24 06:11:24,"Мэр Борисполя Владимир Борисенко вышел в эфир в ФБ. Он сообщает, что взрывы в районе аэропорта Борисполь, которые  слышны рано утром, были осуществлены украинским ПВО по неизвестным беспилотным аппаратам. Вероятно, это российские БПЛА. Борисенко просит не поддаваться панике и доверять только проверенной информации",23580,neutral,0.0133192837238311,Ukraine24,0.1395367830991745,0.9566515684127808,0.1528560668230056,-1,-1_россии_украины_украине_украина
7,2022-02-24 06:46:14,"️Мэр Киева Виталий Кличко рассказал, что сейчас делать жителям столицы. ..Всем, кто задействован в работе критической инфраструктуры и жизнидеятельности города – оставаться дома. Остальным – собрать ""тревожный чемоданчик"", документы и минимальный набор вещей. Об эвакуации мэр Киева пока ничего НЕ сказал...""Городская власть в столице"", – сообщил он.",23581,neutral,0.2668294534087181,Ukraine24,0.1024213209748268,0.9149442911148072,0.3692507743835449,133,133_мэр_возвращаться_киев_город
8,2022-02-24 06:46:32,️ Глава МИД Украины Дмитрий Кулеба: Мир может остановить Путина. Время действовать – прямо сейчас!,23582,positive,0.6323728300631046,Ukraine24,0.0384043715894222,0.8714189529418945,0.6707772016525269,64,64_путин_республик_события_онлайн
9,2022-02-24 06:46:43,ЗЕЛЕНСКИЙ СОЗВАЛ СОВЕТ НАЦИОНАЛЬНОЙ БЕЗОПАСНОСТИ И ОБОРОНЫ УКРАИНЫ,23583,negative,-0.575241893529892,Ukraine24,0.8184643387794495,0.4494201242923736,0.2432224452495575,-1,-1_россии_украины_украине_украина
10,2022-02-24 06:46:52,"Президент США Джо Байден заявил, что готовит с союзниками ответ Москве за нападение на Украину.",23584,negative,-0.5263409875333309,Ukraine24,0.5407095551490784,0.975832462310791,0.0143685676157474,36,36_himars_украине_истребители_украину
11,2022-02-24 06:47:17,Первое обращение ПРЕЗИДЕНТА УКРАИНЫ Владимира Зеленского .,23585,negative,-0.6357976067811251,Ukraine24,0.665833055973053,0.9211950898170472,0.0300354491919279,-1,-1_россии_украины_украине_украина
12,2022-02-24 06:49:08,"В Украине вводится ВОЕННОЕ ПОЛОЖЕНИЕ , – президент Зеленский.",23586,neutral,-0.2451985031366348,Ukraine24,0.2906576693058014,0.9652794003486632,0.0454591661691665,-1,-1_россии_украины_украине_украина
13,2022-02-24 07:03:55,Российская армия дотянулась и до западных регионов Украины. Слышны авиаудары в черте города Луцк.,23587,neutral,-0.314133271574974,Ukraine24,0.3497125208377838,0.969645082950592,0.0355792492628097,-1,-1_россии_украины_украине_украина
14,2022-02-24 07:20:52,"В Киеве включили сирену гражданской обороны, сообщают местные жители.",23588,negative,-0.5903344620019197,Ukraine24,0.6081250309944153,0.9614280462265016,0.0177905689924955,-1,-1_россии_украины_украине_украина
15,2022-02-24 07:20:52,Метро пока что работает в обычном режиме.,23589,neutral,-0.0279936641454696,Ukraine24,0.273012638092041,0.8428308963775635,0.2450189739465713,62,62_метро_поезда_станции_укрзализныця
16,2022-02-24 07:23:15,"МИД Украины на связи Дмитрий Кулеба призвал весь мир к пяти шагам, чтобы остановить Путина.",23590,neutral,-0.0564301684498786,Ukraine24,0.1203512176871299,0.9819754958152772,0.0639210492372512,-1,-1_россии_украины_украине_украина
17,2022-02-24 07:25:10,️ На границе в 50 км от Сум подорван военный склад с боеприпасами . Видео взрыва.,23591,neutral,0.1143989004194736,Ukraine24,0.0571556948125362,0.9724220037460328,0.1715545952320099,-1,-1_россии_украины_украине_украина
18,2022-02-24 07:27:06,"В Киеве – транспортный коллапс и очереди к банкоматам. В 7 утра люди пришли снимать наличные средства. О взрывах перестали сообщать, но магазины, заправки и другие объекты погрязли в очередях.",23592,negative,-0.9571726154536008,Ukraine24,0.9723524451255798,0.7106100916862488,0.0151798296719789,-1,-1_россии_украины_украине_украина
19,2022-02-24 07:29:05,"Национальная полиция Украины вышла на работу для обеспечения правопорядк а . На въезде и выезде из Киева проверяют документы и наличие огнестрельного оружия...Диалог с водителем:..– А нас впустят обратно?.- Я ничего не знаю. Я не знаю, что будет через полчаса, – ответил полицейский.",23593,negative,-0.9287375397980212,Ukraine24,0.948711633682251,0.7638137936592102,0.0199740938842296,-1,-1_россии_украины_украине_украина
20,2022-02-24 07:30:52,️ Киев прямо сейчас. Люди стоят в очереди за продуктами. Глобальной паники нет . Но все товары сметают с полок.,23594,negative,-0.8633806221187115,Ukraine24,0.8953735828399658,0.7918997406959534,0.0319929607212543,-1,-1_россии_украины_украине_украина
21,2022-02-24 07:32:31,"ВНИМАНИЕ! Зафиксирована воздушная угроза в Киеве, сообщает КГГА.  Если услышите сирены – просят всех срочно пройти в укрытия гражданской защиты.",23595,negative,-0.9146744441241026,Ukraine24,0.9270115494728088,0.8548738956451416,0.0123371053487062,31,31_тревога_воздушная_область_днепропетровская
22,2022-02-24 07:34:46,"️ Власти республики Беларусь предал и Украину ...Государственная пограничная служба Украины сообщила об атаке границы не только со стороны РФ, но и Беларуси. Наши сообщают, что держат оборону!",23596,negative,-0.9517782824113964,Ukraine24,0.9665582180023192,0.7221311926841736,0.0147799355909228,7,7_беларуси_белоруссии_беларусь_белоруссия
23,2022-02-24 07:40:15,"Ситуация КОНТРОЛИРУЕМАЯ, – Генеральный штаб Вооруженных Сил Украины. Наши войска заняли оборону. Держат границу. Отбивают воздушную атаку врага. ..А новости о десанте РФ в Одессе – фейк",23597,negative,-0.5881459750235081,Ukraine24,0.6146576404571533,0.9488526582717896,0.0265116654336452,-1,-1_россии_украины_украине_украина
24,2022-02-24 07:42:34,"Горит аэропорт в Ивано-Франковске.   Как мы уже сообщали, российские удары ракет долетели и до западных регионов Украины. Ранее взрывы были слышны в Луцке.",23598,negative,-0.4935893006622791,Ukraine24,0.5101779103279114,0.9748668074607848,0.0165886096656322,-1,-1_россии_украины_украине_украина
25,2022-02-24 07:45:13,"️ Беларусь присоеднилась к войне против Украины.  Первые подтверждения. Танки перешли белорусско-украинскую границу, сообщает CNN и показывает видео.",23599,neutral,-0.432977395132184,Ukraine24,0.4465992748737335,0.9836636781692504,0.0136218797415494,7,7_беларуси_белоруссии_беларусь_белоруссия
26,2022-02-24 07:47:55,️ Как выглядит Офис президента Украины на ул. Банковая в Киеве прямо сейчас. Ворота закрыты. Вход только по пропускам. Минимальное количество охраны от Нацгвардии.,23600,negative,-0.7439832808449864,Ukraine24,0.7578275799751282,0.9474103450775146,0.0138442991301417,133,133_мэр_возвращаться_киев_город
27,2022-02-24 07:51:16,Заправные станции в Киеве полностью парализованы. Огромные очереди из машин создали масштабные пробки. Шансы купить сейчас топливо на заправке в краткие сроки – близки к нулю.,23601,positive,0.7371632624417543,Ukraine24,0.0312365125864744,0.8267980813980103,0.7683997750282288,-1,-1_россии_украины_украине_украина
